h,split,model,pred,actual,err
3,2020-02,"ARIMA(1,1,1)",0.2814796380580446,-0.3075487461638992,-0.5890283842219439
3,2020-02,Ridge,0.8288009922559718,-0.3075487461638992,-1.136349738419871
3,2020-02,SVR (RBF),0.4410974478252619,-0.3075487461638992,-0.7486461939891612
3,2020-02,Random forest,0.3499716464021658,-0.3075487461638992,-0.6575203925660651
3,2020-02,Gradient boosting,0.3169115096369546,-0.3075487461638992,-0.6244602558008538
3,2020-04,Random walk (no change),0.0,0.4701028272791951,0.4701028272791951
3,2020-04,Drift (24m mean),0.4893006969254802,0.4701028272791951,-0.019197869646285
3,2020-04,"ARIMA(1,1,1)",0.4585298844623935,0.4701028272791951,0.0115729428168016
3,2020-04,Ridge,0.185404842419984,0.4701028272791951,0.2846979848592111
3,2020-04,SVR (RBF),-0.1454567679143239,0.4701028272791951,0.6155595951935191
3,2020-04,Random forest,0.0446166858688505,0.4701028272791951,0.4254861414103446
3,2020-04,Gradient boosting,-0.0465094616279046,0.4701028272791951,0.5166122889070998
3,2020-06,Random walk (no change),0.0,0.6788564621466708,0.6788564621466708
3,2020-06,Drift (24m mean),0.4282585273789922,0.6788564621466708,0.2505979347676786
3,2020-06,"ARIMA(1,1,1)",-0.1956692706696685,0.6788564621466708,0.8745257328163394
3,2020-06,Ridge,0.3747532803446423,0.6788564621466708,0.3041031818020285
3,2020-06,SVR (RBF),0.1700985082835628,0.6788564621466708,0.508757953863108
3,2020-06,Random forest,0.3098510715818526,0.6788564621466708,0.3690053905648182
3,2020-06,Gradient boosting,0.29340727247678,0.6788564621466708,0.3854491896698908
3,2020-08,Random walk (no change),0.0,0.7744252473965485,0.7744252473965485
3,2020-08,Drift (24m mean),0.431087245748248,0.7744252473965485,0.3433380016483005
3,2020-08,"ARIMA(1,1,1)",0.3804933996956379,0.7744252473965485,0.3939318477009106
3,2020-08,Ridge,0.5883602689270725,0.7744252473965485,0.186064978469476
3,2020-08,SVR (RBF),0.4112026191511708,0.7744252473965485,0.3632226282453776
3,2020-08,Random forest,0.4869695647914657,0.7744252473965485,0.2874556826050828
3,2020-08,Gradient boosting,0.6665173709741592,0.7744252473965485,0.1079078764223893
3,2020-10,Random walk (no change),0.0,2.0502929202546927,2.0502929202546927
3,2020-10,Drift (24m mean),0.4537344038893239,2.0502929202546927,1.5965585163653688
3,2020-10,"ARIMA(1,1,1)",0.326987740905281,2.0502929202546927,1.7233051793494116
3,2020-10,Ridge,0.904441156133375,2.0502929202546927,1.1458517641213175
3,2020-10,SVR (RBF),1.150173809808018,2.0502929202546927,0.9001191104466748
3,2020-10,Random forest,0.8977173540105955,2.0502929202546927,1.152575566244097
3,2020-10,Gradient boosting,0.9468638647027584,2.0502929202546927,1.1034290555519342
3,2020-12,Random walk (no change),0.0,3.353156556371184,3.353156556371184
3,2020-12,Drift (24m mean),0.539003893115945,3.353156556371184,2.814152663255239
3,2020-12,"ARIMA(1,1,1)",0.5517296357999157,3.353156556371184,2.8014269205712683
3,2020-12,Ridge,1.242140123337292,3.353156556371184,2.111016433033892
3,2020-12,SVR (RBF),1.270135613800464,3.353156556371184,2.08302094257072
3,2020-12,Random forest,1.0168894547142404,3.353156556371184,2.336267101656944
3,2020-12,Gradient boosting,1.1984210203527863,3.353156556371184,2.1547355360183977
3,2021-02,Random walk (no change),0.0,4.59725808683249,4.59725808683249
3,2021-02,Drift (24m mean),0.749987663798494,4.59725808683249,3.847270423033996
3,2021-02,"ARIMA(1,1,1)",1.061641150296964,4.59725808683249,3.5356169365355257
3,2021-02,Ridge,1.72548062733298,4.59725808683249,2.87177745949951
3,2021-02,SVR (RBF),1.6415349188706283,4.59725808683249,2.955723167961861
3,2021-02,Random forest,1.4613487220896029,4.59725808683249,3.135909364742887
3,2021-02,Gradient boosting,1.6242905868772133,4.59725808683249,2.9729674999552764
3,2021-04,Random walk (no change),0.0,4.940709080776751,4.940709080776751
3,2021-04,Drift (24m mean),1.0858530673757043,4.940709080776751,3.8548560134010463
3,2021-04,"ARIMA(1,1,1)",1.7336311964029392,4.940709080776751,3.2070778843738115
3,2021-04,Ridge,1.823101672493991,4.940709080776751,3.11760740828276
3,2021-04,SVR (RBF),0.9940918009164303,4.940709080776751,3.946617279860321
3,2021-04,Random forest,1.3960584701439769,4.940709080776751,3.544650610632773
3,2021-04,Gradient boosting,2.7583975049823177,4.940709080776751,2.182311575794433
3,2021-06,Random walk (no change),0.0,4.364427440337781,4.364427440337781
3,2021-06,Drift (24m mean),1.4991450437679206,4.364427440337781,2.865282396569861
3,2021-06,"ARIMA(1,1,1)",2.640771302255814,4.364427440337781,1.7236561380819673
3,2021-06,Ridge,3.077414286303794,4.364427440337781,1.2870131540339873
3,2021-06,SVR (RBF),0.6408523720323918,4.364427440337781,3.7235750683053896
3,2021-06,Random forest,3.2307569191755703,4.364427440337781,1.1336705211622111
3,2021-06,Gradient boosting,3.7575155062324543,4.364427440337781,0.6069119341053271
3,2021-08,Random walk (no change),0.0,3.964571984327714,3.964571984327714
3,2021-08,Drift (24m mean),1.8824406048328504,3.964571984327714,2.0821313794948635
3,2021-08,"ARIMA(1,1,1)",3.504462910787538,3.964571984327714,0.4601090735401758
3,2021-08,Ridge,3.147385695224911,3.964571984327714,0.817186289102803
3,2021-08,SVR (RBF),1.0063227593505897,3.964571984327714,2.9582492249771244
3,2021-08,Random forest,3.3018605755059136,3.964571984327714,0.6627114088218002
3,2021-08,Gradient boosting,2.5537110723027485,3.964571984327714,1.410860912024965
3,2021-10,Random walk (no change),0.0,3.939438343972723,3.939438343972723
